PlaceID,State,Latitude,Longitude,Address
136550225,Karnataka,12.9562567081933,78.2753942605141,"Sumathi Nagar, Robertsonpet, Kolar Gold Fields, Bangarapet taluk, Kolar district, Karnataka, 563115, India"
204458805,Tamil Nadu,9.82553507585688,78.2580023292562,"Tirupuvanam, Manamadurai, Sivagangai district, Tamil Nadu, 623611, India"
119722950,Rajasthan,25.9234469043636,73.6661583794035,"Sojat, Sojat Tehsil, Pali, Rajasthan, 306104, India"
121747567,Gujarat,21.6001263342155,71.2116680080049,"Amreli, Amreli Taluka, Amreli District, Gujarat, 364600, India"
184295796,Maharashtra,18.1817180769754,76.0388488700029,"Osmanabad, Maharashtra, 413500, India"
149750331,Punjab,30.8139472990056,75.1687996717833,"Moga, Moga Tahsil, Moga, Punjab, 142001, India"
225535621,Bihar,26.1154454105764,86.5950742308682,"Supaul, Bihar, 852131, India"
192561762,Tamil Nadu,11.5053309614185,77.2382750021061,"Satyamangalam, Sathyamangalam, Erode district, Tamil Nadu, 638401, India"
133435481,Uttar Pradesh,28.7127263,77.6561897,"Arya Nagar, Pilkhuwa, Dhaulana, Hapur, Uttar Pradesh, 245304, India"
209325810,Odisha,20.8818481315837,85.8331214050756,"Bhuban, Dhenkanal, Odisha, 759017, India"
141493372,Odisha,22.1020079369285,85.3774488065146,"Barbil, Kendujhar, Odisha, 758035, India"
175935245,Gujarat,21.5389928822958,71.5773545223492,"Gariadhar, Gariadhar Taluka, Bhavnagar District, Gujarat, 364505, India"
